pct,org_code,org_name,org_type,chem_sub,bnf_name,quantity_per_item,jan_2020_items,jan_2021_items
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,10.0,8,8
05L,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,10.0,0,1
704,704,LONDON BOROUGH OF HACKNEY,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,10.0,5,0
14T,14T,SOUTH WEST - H&J COMMISSIONING HUB,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,10.0,0,1
52R,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,10.0,2,1
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,10.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,10.0,7,11
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,10.0,6,2
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,10.0,21,9
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,10.0,2,1
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,10.0,2,4
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,10.0,1,2
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,10.0,0,3
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,9,11
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
01G,01G,NHS SALFORD CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,3,1
RLY,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,8,4
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,11.0,1,0
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,11.0,1,0
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,2
01A,01A,NHS EAST LANCASHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,1,0
91Q,91Q,NHS KENT AND MEDWAY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,6,0
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,0,7
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,11.0,1,0
212,212,LEEDS CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,12,6
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,2,0
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,10,5
09A,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
10Q,10Q,NHS OXFORDSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,1
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,2,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,6,1
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,3,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,4,0
212,212,LEEDS CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,4
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,7,5
00T,00T,NHS BOLTON CCG,CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,0
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,9,0
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,2
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,6,2
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,7,5
03N,03N,NHS SHEFFIELD CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution,11.0,1,1
DNE,DNE,COMPASS,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,0
114,114,STOCKTON-ON-TEES BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,4,0
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,0
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,0
08V,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,0
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,5,2
93C,93C,NHS NORTH CENTRAL LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,4
313,313,WIGAN METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,6,1
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 2mg/500microgram sublingual tablets,11.0,1,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,1
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,7,6
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,4,0
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,3,0
02P,02P,NHS BARNSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,0
216,216,NORTH EAST LINCOLNSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,0,5
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,4,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,5,5
01D,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,1
01F,01F,NHS HALTON CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,6,2
15F,15F,NHS LEEDS CCG,CCG,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,11.0,1,0
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,5,4
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,0
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,11.0,1,0
03L,03L,NHS ROTHERHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,3,0
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,1
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,1
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,0,7
DNE,DNE,COMPASS,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,0
72Q,72Q,NHS SOUTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,0
05A,B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,1
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,4,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,0,1
02Y,02Y,NHS EAST RIDING OF YORKSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,3
03L,03L,NHS ROTHERHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,1,1
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Methadone hydrochloride,Methadone 1mg/ml oral solution sugar free,11.0,1,0
00X,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,0
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,0,1
305,305,BURY METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,0
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,11,0
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,0,2
15D,D4U1Y,NHS FRIMLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,2,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,1
52R,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,3,0
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,11.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Naltrexone hydrochloride,Naltrexone 50mg tablets,11.0,0,2
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,39,17
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,1,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,90,66
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,0,1
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,3,0
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,2
RX4,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,8,3
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,1
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,2,1
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,0
112,112,MIDDLESBROUGH BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,5,2
DWA,DWA,EDP DRUG AND ALCOHOL SERVICES,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,1
09A,W2U3Z,NHS NORTH WEST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,0
07T,A3A8R,NHS NORTH EAST LONDON CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,0
211,211,KIRKLEES COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,1,0
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,3
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,1,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,2
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,0
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,7,4
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,14,6
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,1,0
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,4,1
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,1,3
RXM,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,3,0
615,615,WEST BERKSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,0
114,114,STOCKTON-ON-TEES BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,5,7
322,322,WARRINGTON BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,0,3
00T,00T,NHS BOLTON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,3,3
05C,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,7,0
03L,03L,NHS ROTHERHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,3,9
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,17,8
02P,02P,NHS BARNSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,5,2
03F,03F,NHS HULL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,0
RXE,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,11.0,1,0
AKV,AKV,SWANSWELL CHARITABLE TRUST,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,0
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,0
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,6,9
DG3,DG3,THE FORWARD TRUST,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,4,2
NR5,NR5,LIVEWELL SOUTHWEST,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,1,0
01J,01J,NHS KNOWSLEY CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,0
14L,14L,NHS MANCHESTER CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,4,0
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,3,2
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,4,8
03N,03N,NHS SHEFFIELD CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,18,8
DLA,DLA,CRANSTOUN,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,3,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,0,1
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,11.0,1,0
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,2,13
NKI,NKI,TURNING POINT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,10,4
704,704,LONDON BOROUGH OF HACKNEY,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,6,0
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,0,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,338,229
615,615,WEST BERKSHIRE COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,1
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,1,3
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,0,1
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,11.0,1,0
71E,71E,NHS LINCOLNSHIRE CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,0,1
NI3,NI3,WE ARE WITH YOU,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,2
107,107,NEWCASTLE CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,3,3
DMH,DMH,FRAMEWORK,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 0.4mg sublingual tablets,11.0,1,1
15N,15N,NHS DEVON CCG,CCG,Buprenorphine hydrochloride,Subutex 8mg sublingual tablets,11.0,2,1
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 8mg/2mg sublingual tablets,11.0,1,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,0,1
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,1,2
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,10,4
110,110,SUNDERLAND CITY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,7,3
106,106,GATESHEAD METROPOLITAN BOROUGH COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,2,2
01J,01J,NHS KNOWSLEY CCG,CCG,Naltrexone hydrochloride,Naltrexone 50mg tablets,11.0,1,0
218,218,NORTH YORKSHIRE COUNTY COUNCIL,LOCAL AUTH,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,0,6
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,2,0
03F,03F,NHS HULL CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,2
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,3,1
NL1,NL1,SPECTRUM COMMUNITY HEALTH - CIC,INDEP SECTOR,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 8mg/2mg sublingual tablets,11.0,1,0
AJ6,AJ6,HUMANKIND,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,3
AKV,AKV,SWANSWELL CHARITABLE TRUST,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,1,0
01X,01X,NHS ST HELENS CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,0,1
00Q,00Q,NHS BLACKBURN WITH DARWEN CCG,CCG,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,5,3
ARG,ARG,WESTMINISTER DRUG PROJECT,INDEP SECTOR,Buprenorphine hydrochloride,Espranor 8mg oral lyophilisates,11.0,13,11
RLY,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,1,1
01H,01H,NHS NORTH CUMBRIA CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,0
15E,15E,NHS BIRMINGHAM AND SOLIHULL CCG,CCG,Buprenorphine hydrochloride,Espranor 2mg oral lyophilisates,11.0,0,1
RA9,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TRUST,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,1,0
NMS,NMS,"CHANGE, GROW, LIVE",INDEP SECTOR,Buprenorph hydrochloride/naloxone hydrochloride,Suboxone 2mg/500microgram sublingual tablets,11.0,1,0
05Y,D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,3,1
DG3,DG3,THE FORWARD TRUST,INDEP SECTOR,Buprenorphine hydrochloride,Buprenorphine 8mg sublingual tablets sugar free,11.0,5,11
99A,99A,NHS LIVERPOOL CCG,CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,4,1
DEC,DEC,THE SOCIETY OF ST JAMES,INDEP SECTOR,Buprenorphine hydrochloride,Subutex 2mg sublingual tablets,11.0,3,0
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",CCG,Buprenorphine hydrochloride,Buprenorphine 2mg sublingual tablets sugar free,11.0,9,5
